FECHA;BEBIDA;MARCA;PRECIO;LUGAR
21-sep;Cerveza;;0,00 ?;Medjugorje
21-sep;Cerveza;;0,00 ?;Medjugorje
24-sep;Cerveza;Estrella Galicia;0,00 ?;Casa Madrid
25-sep;Cerveza;Mahou;3,50 ?;Madrid
26-sep;Cerveza;Steinburg;0,00 ?;Casa Beltran
26-sep;Cerveza;Steinburg;0,00 ?;Casa Beltran
02-oct;Cerveza;Mahou;3,50 ?;Madrid
03-oct;Cerveza;Estrella Galicia;0,00 ?;Casa Madrid
04-oct;Cerveza;1870;5,00 ?;Concierto Vise
04-oct;Cerveza;1870;5,00 ?;Concierto Vise
04-oct;Roncola;;8,00 ?;Concierto Vise
04-oct;Roncola;;8,00 ?;Concierto Vise
04-oct;Roncola;;0,00 ?;Concierto Vise
04-oct;Cerveza;Mahou;0,00 ?;Madrid
04-oct;Cerveza;Mahou;0,00 ?;Madrid
04-oct;Cerveza;Mahou;0,00 ?;Madrid
09-oct;Cerveza;Mahou;0,00 ?;madrid
12-oct;Cerveza;Victoria;0,00 ?;Barra Bientirada
12-oct;Cerveza;Victoria;0,00 ?;Barra Bientirada
13-oct;Cerveza;Budweiser;0,00 ?;Alfredos
17-oct;Cerveza;Estrella Galicia;0,50 ?;Casa Laurazarzal
17-oct;Cerveza;Estrella Galicia;0,50 ?;Casa Laurazarzal
17-oct;Cerveza;Estrella Galicia;0,50 ?;Casa Laurazarzal
17-oct;Cerveza;Estrella Galicia;0,50 ?;Casa Laurazarzal
17-oct;Cerveza;Estrella Galicia;0,50 ?;Casa Laurazarzal
17-oct;Mojito;;0,50 ?;Casa Laurazarzal
17-oct;Mojito;;0,50 ?;Casa Laurazarzal
17-oct;Mojito;;0,50 ?;Casa Laurazarzal
18-oct;Cerveza;Estrella Galicia;0,50 ?;Casa Laurazarzal
19-oct;Cerveza;Estrella Galicia;0,00 ?;Casa Paco
19-oct;Cerveza;Estrella Galicia;0,00 ?;Casa Paco
19-oct;Cerveza;Estrella Galicia;0,00 ?;Casa Paco
21-oct;Cerveza;Mahou;0,00 ?;Monteria
21-oct;Cerveza;Mahou;0,00 ?;Monteria
24-oct;Cerveza;Mahou;3,50 ?;Aura
24-oct;Cerveza;Alhambra;0,00 ?;Granada
24-oct;Cerveza;Alhambra;0,00 ?;Granada
25-oct;Cerveza;Alhambra;0,00 ?;Granada
25-oct;Cerveza;Alhambra;0,00 ?;Granada
25-oct;Vermu;;0,00 ?;Granada
25-oct;Vermu;;0,00 ?;Granada
25-oct;Vermu;;0,00 ?;Granada
26-oct;Vermu;;0,00 ?;Casa Malaga
27-oct;Cerveza;Mahou;0,00 ?;Hermanos Vinagre
27-oct;Vermu;;0,00 ?;Hermanos Vinagre
30-oct;Cerveza;1906;0,00 ?;Casa Madrid
31-oct;Cerveza;Mahou;0,00 ?;Casa Rayo
31-oct;Gintonic;;0,00 ?;Casa Rayo
01-nov;Cerveza;1906;0,00 ?;Casa Paco
01-nov;Cerveza;1906;0,00 ?;Casa Paco
01-nov;Cerveza;Estrella Galicia;0,00 ?;Casa Paco
01-nov;Cerveza;Estrella Galicia;0,00 ?;Casa Paco
01-nov;Cerveza;Estrella Galicia;0,00 ?;Casa Paco
05-nov;Cerveza;Mahou;0,00 ?;Casa madrid
07-nov;Cerveza;Mahou;3,20 ?;Doctor
07-nov;Cerveza;Aguila Dorada;3,00 ?;TGB
07-nov;Cerveza;Aguila Dorada;3,00 ?;Bolera
07-nov;Cerveza;Mahou;2,00 ?;Mcdonalds
07-nov;Roncola;;12,00 ?;El cuento
08-nov;Cerveza;Estrella Galicia;0,00 ?;Casa Malaga
09-nov;Cerveza;Estrella Galicia;0,00 ?;Casa Malaga
09-nov;Vermu;;0,00 ?;Casa Malaga
12-nov;Cerveza;Mahou;2,00 ?;Lateral
12-nov;Cerveza;Mahou;2,00 ?;Lateral
13-nov;Cerveza;Mahou;3,50 ?;Varro
13-nov;Cerveza;Mahou;3,50 ?;Varro
16-nov;Cerveza;Mahou;3,50 ?;Lateral
16-nov;Cerveza;1906;0,00 ?;Casa Madrid
17-nov;Cerveza;Budweiser;3,50 ?;Alfredos
18-nov;Cerveza;Mahou;4,00 ?;Sierra
18-nov;Cerveza;Mahou;4,00 ?;Sierra
21-nov;Cerveza;1906;0,00 ?;Casa Vise
22-oct;Cerveza;Tsingtao;3,50 ?;Little Dragon
24-nov;Cerveza;Mahou;0,00 ?;Monteria
24-nov;Cerveza;Mahou;0,00 ?;Monteria
25-nov;Cerveza;Mahou;0,00 ?;Kulto
25-nov;Cerveza;Mahou;0,00 ?;Kulto
28-nov;Cerveza;Mahou;0,00 ?;Gallego
28-nov;Cerveza;Mahou;3,00 ?;La Regional
28-nov;Cerveza;Mahou;3,00 ?;La Regional
28-nov;Cerveza;Mahou;3,00 ?;La Regional
05-dic;Cerveza;Alhambra ;3,00 ?;Uvepan
07-dic;Cerveza;Estrella Galicia;0,00 ?;Casa Madrid
09-dic;Cerveza;Mahou;3,50 ?;Mercadillo Navidad
11-dic;Cerveza;Tsingtao;3,50 ?;Little Dragon
14-dic;Cerveza;1906;0,00 ?;Casa Madrid
15-dic;Cerveza;1906;0,00 ?;Casa Madrid
19-dic;Cerveza;Estrella Galicia;0,00 ?;Casa Madrid
19-dic;Cerveza;Estrella Galicia;0,00 ?;Casa Madrid
20-dic;Cerveza;Mahou;3,50 ?;Hermanos Vinagre
20-dic;Cerveza;Mahou;3,50 ?;Madrid
20-dic;Cerveza;Tsingtao;3,50 ?;Little Dragon
22-dic;Cerveza;Estrella Galicia;0,00 ?;Casa Nico
22-dic;Cerveza;Estrella Galicia;0,00 ?;Casa Nico
22-dic;Roncola;;0,00 ?;Casa Nico
22-dic;Roncola;;8,00 ?;Florida Park
22-dic;Roncola;;8,00 ?;Florida Park
24-dic;Cerveza;Cruzcampo;0,00 ?;Jaen
24-dic;Cerveza;Alhambra;0,00 ?;Jaen
24-dic;Cerveza;Voll Damm;0,00 ?;Jaen
24-dic;Roncola;;0,00 ?;Jaen
25-dic;Cerveza;Alhambra;0,00 ?;Jaen
25-dic;Cerveza;Alhambra;0,00 ?;Jaen
25-dic;Cerveza;Alhambra;0,00 ?;Jaen
30-dic;Cerveza;Cruzcampo;1,00 ?;Venta
30-dic;Cerveza;Cruzcampo;1,00 ?;Venta
31-dic;Cerveza;Mahou;0,00 ?;El Escorial
31-dic;Vermu;;0,00 ?;El Escorial
31-dic;Cerveza;Alhambra;0,00 ?;Casa Primos 
31-dic;Gintonic;;12,00 ?;Madrid
