FECHA,ALCOHOL_L
2025-03-07,0.2685
2025-09-12,0.2385
2025-10-04,0.2265
2025-10-17,0.2265
2025-06-20,0.216
2025-01-18,0.21000000000000002
2025-05-16,0.1935
2025-12-22,0.177
2025-03-20,0.177
2025-08-17,0.1605
